Residence,Work,Commute rate
34,44,3.34E-05
1,24,3.32E-05
11,33,3.32E-05
18,34,3.32E-05
27,3,3.32E-05
47,42,3.32E-05
9,16,3.30E-05
11,25,3.29E-05
12,35,3.29E-05
16,3,3.29E-05
47,26,3.29E-05
21,29,3.28E-05
27,19,3.27E-05
29,39,3.27E-05
47,25,3.26E-05
11,43,3.25E-05
35,8,3.25E-05
35,46,3.24E-05
37,44,3.24E-05
3,36,3.23E-05
14,43,3.23E-05
26,9,3.23E-05
13,5,3.22E-05
25,36,3.22E-05
8,18,3.21E-05
8,34,3.21E-05
45,8,3.21E-05
12,21,3.20E-05
44,8,3.20E-05
35,21,3.19E-05
38,11,3.19E-05
24,10,3.15E-05
38,42,3.15E-05
6,28,3.14E-05
20,25,3.14E-05
1,34,3.13E-05
38,15,3.13E-05
33,15,3.11E-05
11,47,3.10E-05
8,17,3.09E-05
32,36,3.09E-05
38,3,3.09E-05
14,5,3.08E-05
36,15,3.08E-05
38,41,3.08E-05
32,22,3.07E-05
39,26,3.07E-05
20,3,3.06E-05
25,47,3.05E-05
39,43,3.05E-05
1,38,3.04E-05
18,19,3.04E-05
22,16,3.04E-05
46,11,3.04E-05
46,37,3.04E-05
46,1,3.03E-05
14,38,3.02E-05
18,1,3.02E-05
35,4,3.02E-05
10,26,3.01E-05
31,3,3.01E-05
34,9,3.01E-05
38,21,3.01E-05
11,5,3.00E-05
47,34,3.00E-05
1,21,2.99E-05
37,29,2.99E-05
22,40,2.98E-05
37,32,2.98E-05
41,32,2.98E-05
9,21,2.97E-05
27,44,2.97E-05
7,24,2.96E-05
44,26,2.96E-05
33,17,2.95E-05
37,25,2.95E-05
9,25,2.94E-05
13,37,2.93E-05
17,31,2.92E-05
31,4,2.92E-05
31,36,2.92E-05
12,43,2.90E-05
13,35,2.90E-05
45,21,2.89E-05
10,16,2.86E-05
26,47,2.85E-05
8,25,2.84E-05
11,37,2.84E-05
29,46,2.84E-05
36,8,2.84E-05
15,2,2.83E-05
33,1,2.83E-05
13,43,2.82E-05
3,40,2.81E-05
9,5,2.81E-05
33,30,2.81E-05
28,41,2.80E-05
32,12,2.80E-05
38,30,2.80E-05
8,6,2.79E-05
34,21,2.79E-05
34,29,2.79E-05
40,21,2.79E-05
17,35,2.78E-05
26,3,2.78E-05
32,17,2.78E-05
13,38,2.77E-05
26,32,2.77E-05
12,38,2.76E-05
26,42,2.76E-05
3,44,2.75E-05
43,20,2.75E-05
45,30,2.75E-05
10,21,2.74E-05
23,3,2.74E-05
47,45,2.74E-05
19,34,2.71E-05
