Dep_reg_code,Arr_reg_code,Total
24,14,31.9
24,15,2
24,16,1.1
24,17,3
24,18,1.5
24,19,1.1
24,20,4.8
24,21,30.3
24,22,16
24,23,3149.5877
24,24,0
24,25,100.8
24,26,113.1
24,27,59.6
24,28,8.7
24,29,47.8
24,30,72.4
24,31,0
24,32,0.1
24,33,3
24,34,6.4
24,35,2.4
24,36,0
24,37,1.3
24,38,0.9
24,39,0
24,40,6
24,41,0.9
24,42,0.8
24,43,1.1
24,44,1.2
24,45,0
24,46,0.1
24,47,0
25,1,0
25,2,1.1
25,3,2
25,4,5.1
25,5,0.3
25,6,1.3
25,7,4.5
25,8,5.5
25,9,6.8
25,10,3.3
25,11,12.7
25,12,27.4
25,13,431.5
25,14,138.1
25,15,5.6
25,16,17.1
25,17,78.6
25,18,201.5
25,19,1.9
25,20,11.2
25,21,505.2
25,22,68.1
25,23,674.6
25,24,118
25,25,0
25,26,39026.8
25,27,8667.2
25,28,884
25,29,54
25,30,15.5
25,31,3.4
25,32,3.1
25,33,34.8
25,34,53
25,35,15.3
25,36,0
25,37,8.4
25,38,5.5
25,39,2.1
25,40,57.4
25,41,4.1
25,42,3.7
25,43,7.6
25,44,5.4
25,45,0.3
25,46,4.8
25,47,0
26,1,12.9403
26,2,10.3
26,3,17.2
26,4,39.4
26,5,2.8
26,6,12.9
26,7,42.9
26,8,44.8
26,9,56.7
26,10,43
26,11,96.5
26,12,198.9
26,13,5521.4
26,14,1438.9
26,15,46.7
26,16,119.4
26,17,364.7
26,18,418.3
26,19,18.6
26,20,98.2
26,21,456.4
26,22,552.6
26,23,1958.2
26,24,112.4
26,25,39388.1
26,26,0
26,27,39454.5
26,28,4510.5
26,29,1735.2
26,30,90.1
26,31,37.1
26,32,13.6
26,33,296
26,34,447.9
26,35,110.3
26,36,1.7
26,37,49.6
26,38,27.7
26,39,10.7
26,40,494.2
26,41,22.7
26,42,24.8
26,43,37.8
26,44,39.7
26,45,2.2
26,46,18.6
26,47,0
27,1,1248.494
27,2,159.335
27,3,95.716
27,4,633.662
27,5,111.735
27,6,65.762
27,7,134.537
27,8,66.4
27,9,83
27,10,52.2
27,11,161.9
27,12,863.816
27,13,13520.122
27,14,2328.9
27,15,388.899
27,16,331.8
27,17,840.6
27,18,598
27,19,29.3
27,20,164.02
27,21,453.8
27,22,916.7
27,23,3920.2
27,24,60.9
27,25,8789.9
27,26,39894
27,27,0
27,28,90499.661
27,29,15281.2
27,30,5353.8
27,31,147.6
27,32,201.435
27,33,1946
27,34,2121.7
27,35,463.2
27,36,5.7
27,37,283
27,38,513.1536
27,39,199.742
27,40,3079.565
27,41,70.4
27,42,313.474
27,43,503.118
27,44,312.922
27,45,347.574
27,46,684.18
27,47,1356.76
28,1,257.445
28,2,4.704
28,3,7
28,4,112.402
28,5,1.3
28,6,3.8
28,7,20.3
28,8,150.166
28,9,32.1
28,10,19.9
28,11,76.2
28,12,145
28,13,2601.282
28,14,553.3
28,15,20.5
28,16,34.2
28,17,77.6
28,18,66
28,19,10.8
28,20,58.435
28,21,78.8
28,22,212.7
28,23,788.4
28,24,8.3
28,25,896.3
28,26,4514.6
28,27,89357.3082
28,28,0
28,29,356.5
28,30,101.4
28,31,135.6
28,32,34.563
28,33,1696.5
28,34,777.3143
28,35,168
28,36,2.1
28,37,180.2566
28,38,41.7529
28,39,19.201
28,40,706.5399
28,41,25.9
28,42,159.16
28,43,74.6
28,44,78.21
28,45,40.119
28,46,150.17
28,47,286.386
29,1,0
29,2,0.9
29,3,1
29,4,1.5
29,5,0
29,6,0.2
29,7,1.8
29,8,2.2
29,9,2.9
29,10,2
29,11,4.4
29,12,5.8
29,13,91.7
29,14,25.4
29,15,1.5
29,16,2.1
29,17,4.9
29,18,3.8
29,19,0.4
29,20,2.3
29,21,3
29,22,11.4
29,23,14.4
29,24,55.6
29,25,51.1
29,26,1750.5
29,27,15152.7
29,28,356.2
29,29,0
29,30,265.5
29,31,1
29,32,0.4
29,33,8.2
29,34,13.2
29,35,5.5
29,36,0
29,37,1.8
29,38,1.2
29,39,0.1
29,40,15.9
